dataset,missingness_type,missing_rate,imputation_method,mean_rmse
German Credit Card,MCAR,"billamt1, 10%",DAE,18335.359478520044
Telco,MAR,"missing totalCharges -> tenure, 10%",LLM Prompt Zero-shot (Mistral-7B-Instruct-v0.3),2152.1828433175488
Telco,MAR,"missing totalCharges -> tenure, 10%",LLM Prompt Few-shot k=2 (Mistral-7B-Instruct-v0.3),1031.8974899671528
Telco,MAR,"missing totalCharges -> tenure, 10%","LLM Batch Prompt (Mistral-7B-Instruct-v0.3, BatchImputation) [batch_size=40]",80.63246564074626
Telco,MAR,"missing totalCharges -> tenure, 10%",LLM Paper Prompt rows=40 (Mistral-7B-Instruct-v0.3),94.29998232590792
Telco,MAR,"missing totalCharges -> tenure, 10%",LLM Paper Prompt rows=40 folds=3 (Mistral-7B-Instruct-v0.3),2139.967274671897
Telco,MAR,"missing totalCharges -> tenure, 10%",LLM Paper Prompt rows=80 folds=3 (Mistral-7B-Instruct-v0.3),559.0812319588015
Telco,MAR,"missing totalCharges -> tenure, 10%",LLM Paper Prompt rows=160 folds=5 (Mistral-7B-Instruct-v0.3),1199.885644420959
Telco,MAR,"missing totalCharges -> tenure, 10%",LLM Paper Single Prompt (Mistral-7B-Instruct-v0.3),3207.2875000000004
Telco,MAR,"missing totalCharges -> tenure, 10%",LLM Paper Single Prompt All Missing (Mistral-7B-Instruct-v0.3),2231.800733576287
Telco,MAR,"missing totalCharges -> tenure, 10%",LLM Paper Single Prompt All Missing (Mistral-7B-Instruct-v0.3),2537.681706064101
Telco,MAR,"missing totalCharges -> tenure, 10%",LLM Paper Single Prompt All Missing (Mistral-7B-Instruct-v0.3),2537.681706064101
Telco,MAR,"missing totalCharges -> tenure, 10%",LLM Finetuned (Mistral-7B-Instruct-v0.3),92.66504520957824
Telco,MCAR,"missing TotalCharges, 10%",LLM Finetuned (Mistral-7B-Instruct-v0.3),559.4586856585631
Telco,MNAR,"missing TotalCharges, 10%",LLM Finetuned (Mistral-7B-Instruct-v0.3),98.69812815200817
German Statlog,MAR,"X2, 10%",LLM Finetuned (Mistral-7B-Instruct-v0.3),9.962429422585638
German Statlog,MNAR,"X2, 10%",LLM Finetuned (Mistral-7B-Instruct-v0.3),11.29778739399888
German Statlog,MCAR,"X2, 10%",LLM Finetuned (Mistral-7B-Instruct-v0.3),10.00299955013495
Telco,MAR,"missing totalCharges -> tenure, 10%",Mean/Mode,2623.4548714685493
Telco,MAR,"missing totalCharges -> tenure, 10%",Mean/Mode,2623.4548714685493
Telco,MAR,"missing totalCharges -> tenure, 10%",Mean/Mode,2623.4548714685493
Telco,MAR,"missing totalCharges -> tenure, 10%",Mean/Mode,2623.4548714685493
Telco,MAR,"missing totalCharges -> tenure, 10%",Mean/Mode,2623.4548714685493
SmokeDataset,MCAR,5%,MeanSmoke,10.333333333333334
SmokeDataset,MCAR,5%,MeanSmoke,10.333333333333334
Telco,MAR,"missing totalCharges -> tenure, 10%",Mean/Mode,2623.4548714685493
Telco,MNAR,"tenure, 10%",Mean/Mode,26.419007656376365
Telco,MCAR,10%,Mean/Mode,600.1104537746895
Telco,MNAR,"totalcharges, 10%",Mean/Mode,2740.228886132297
Telco,MCAR,"totalcharges, 10%",Mean/Mode,2182.2660317793107
Telco,MAR,"missing totalCharges -> tenure, 10%",Mean/Mode,2623.4548714685493
Telco,MNAR,"tenure, 10%",Mean/Mode,26.419007656376365
Telco,MCAR,10%,Mean/Mode,600.1104537746895
Telco,MNAR,"totalcharges, 10%",Mean/Mode,2740.228886132297
Telco,MCAR,"totalcharges, 10%",Mean/Mode,2182.2660317793107
German Credit Card,MAR,"billamt1 -> pay0, 10%",LLM Finetuned (Mistral-7B-Instruct-v0.3),21929.10127810379
German Credit Card,MCAR,"billamt1, 10%",LLM Finetuned (Mistral-7B-Instruct-v0.3),19945.83477085713
German Credit Card,MNAR,"billamt1, 10%",LLM Finetuned (Mistral-7B-Instruct-v0.3),31053.39400696806
German Statlog,MAR,"X2, 10%",LLM Finetuned (Mistral-7B-Instruct-v0.3),10.783784122468328
German Credit Card,MNAR,"billamt1, 10%",LLM Finetuned (Mistral-7B-Instruct-v0.3),28509.37800800525
