run_id,dataset_key,dataset_name,target_column,scenario_family,missingness_type,mcar_scope,mar_dependency_column,mnar_driver_column,mcar_global_excluded_columns,rate_pct,seed,method_family,method_key,method_name,model_key,model_name,include_in_primary_leaderboard,include_in_secondary_full_matrix
R000045,telco,Telco,TotalCharges,MAR_TARGET,MAR,target,tenure,,,15,303,classical,meanmode,Mean/Mode,,,True,False
R000046,telco,Telco,TotalCharges,MAR_TARGET,MAR,target,tenure,,,15,303,classical,medianmode,Median/Mode,,,True,False
R000047,telco,Telco,TotalCharges,MAR_TARGET,MAR,target,tenure,,,15,303,classical,mice,MICE,,,True,False
R000048,telco,Telco,TotalCharges,MAR_TARGET,MAR,target,tenure,,,15,303,classical,missforest,MissForest,,,True,False
R000049,telco,Telco,TotalCharges,MAR_TARGET,MAR,target,tenure,,,15,303,classical,dae,DAE,,,True,False
R000050,telco,Telco,TotalCharges,MAR_TARGET,MAR,target,tenure,,,15,404,classical,meanmode,Mean/Mode,,,True,False
R000051,telco,Telco,TotalCharges,MAR_TARGET,MAR,target,tenure,,,15,404,classical,medianmode,Median/Mode,,,True,False
R000052,telco,Telco,TotalCharges,MAR_TARGET,MAR,target,tenure,,,15,404,classical,mice,MICE,,,True,False
R000053,telco,Telco,TotalCharges,MAR_TARGET,MAR,target,tenure,,,15,404,classical,missforest,MissForest,,,True,False
R000054,telco,Telco,TotalCharges,MAR_TARGET,MAR,target,tenure,,,15,404,classical,dae,DAE,,,True,False
R000055,telco,Telco,TotalCharges,MAR_TARGET,MAR,target,tenure,,,15,505,classical,meanmode,Mean/Mode,,,True,False
R000056,telco,Telco,TotalCharges,MAR_TARGET,MAR,target,tenure,,,15,505,classical,medianmode,Median/Mode,,,True,False
R000057,telco,Telco,TotalCharges,MAR_TARGET,MAR,target,tenure,,,15,505,classical,mice,MICE,,,True,False
R000058,telco,Telco,TotalCharges,MAR_TARGET,MAR,target,tenure,,,15,505,classical,missforest,MissForest,,,True,False
R000059,telco,Telco,TotalCharges,MAR_TARGET,MAR,target,tenure,,,15,505,classical,dae,DAE,,,True,False
R000060,telco,Telco,TotalCharges,MAR_TARGET,MAR,target,tenure,,,15,42,llm_finetuned,llm_finetuned,LLM Finetuned,mistral,mistralai/Mistral-7B-Instruct-v0.3,True,False
R000061,telco,Telco,TotalCharges,MAR_TARGET,MAR,target,tenure,,,15,42,llm_finetuned,llm_finetuned,LLM Finetuned,llama,meta-llama/Llama-3.1-8B-Instruct,True,False
R000062,telco,Telco,TotalCharges,MAR_TARGET,MAR,target,tenure,,,15,42,llm_finetuned,llm_finetuned,LLM Finetuned,qwen,Qwen/Qwen2.5-7B-Instruct,True,False
R000063,telco,Telco,TotalCharges,MAR_TARGET,MAR,target,tenure,,,15,202,llm_finetuned,llm_finetuned,LLM Finetuned,mistral,mistralai/Mistral-7B-Instruct-v0.3,True,False
R000064,telco,Telco,TotalCharges,MAR_TARGET,MAR,target,tenure,,,15,202,llm_finetuned,llm_finetuned,LLM Finetuned,llama,meta-llama/Llama-3.1-8B-Instruct,True,False
R000065,telco,Telco,TotalCharges,MAR_TARGET,MAR,target,tenure,,,15,202,llm_finetuned,llm_finetuned,LLM Finetuned,qwen,Qwen/Qwen2.5-7B-Instruct,True,False
R000066,telco,Telco,TotalCharges,MAR_TARGET,MAR,target,tenure,,,15,303,llm_finetuned,llm_finetuned,LLM Finetuned,mistral,mistralai/Mistral-7B-Instruct-v0.3,True,False
R000067,telco,Telco,TotalCharges,MAR_TARGET,MAR,target,tenure,,,15,303,llm_finetuned,llm_finetuned,LLM Finetuned,llama,meta-llama/Llama-3.1-8B-Instruct,True,False
R000068,telco,Telco,TotalCharges,MAR_TARGET,MAR,target,tenure,,,15,303,llm_finetuned,llm_finetuned,LLM Finetuned,qwen,Qwen/Qwen2.5-7B-Instruct,True,False
R000069,telco,Telco,TotalCharges,MNAR_TARGET,MNAR,target,,TotalCharges,,10,42,classical,meanmode,Mean/Mode,,,True,False
R000070,telco,Telco,TotalCharges,MNAR_TARGET,MNAR,target,,TotalCharges,,10,42,classical,medianmode,Median/Mode,,,True,False
R000071,telco,Telco,TotalCharges,MNAR_TARGET,MNAR,target,,TotalCharges,,10,42,classical,mice,MICE,,,True,False
R000072,telco,Telco,TotalCharges,MNAR_TARGET,MNAR,target,,TotalCharges,,10,42,classical,missforest,MissForest,,,True,False
R000073,telco,Telco,TotalCharges,MNAR_TARGET,MNAR,target,,TotalCharges,,10,42,classical,dae,DAE,,,True,False
R000074,telco,Telco,TotalCharges,MNAR_TARGET,MNAR,target,,TotalCharges,,10,202,classical,meanmode,Mean/Mode,,,True,False
R000075,telco,Telco,TotalCharges,MNAR_TARGET,MNAR,target,,TotalCharges,,10,202,classical,medianmode,Median/Mode,,,True,False
R000076,telco,Telco,TotalCharges,MNAR_TARGET,MNAR,target,,TotalCharges,,10,202,classical,mice,MICE,,,True,False
R000077,telco,Telco,TotalCharges,MNAR_TARGET,MNAR,target,,TotalCharges,,10,202,classical,missforest,MissForest,,,True,False
R000078,telco,Telco,TotalCharges,MNAR_TARGET,MNAR,target,,TotalCharges,,10,202,classical,dae,DAE,,,True,False
R000079,telco,Telco,TotalCharges,MNAR_TARGET,MNAR,target,,TotalCharges,,10,303,classical,meanmode,Mean/Mode,,,True,False
R000080,telco,Telco,TotalCharges,MNAR_TARGET,MNAR,target,,TotalCharges,,10,303,classical,medianmode,Median/Mode,,,True,False
R000081,telco,Telco,TotalCharges,MNAR_TARGET,MNAR,target,,TotalCharges,,10,303,classical,mice,MICE,,,True,False
R000082,telco,Telco,TotalCharges,MNAR_TARGET,MNAR,target,,TotalCharges,,10,303,classical,missforest,MissForest,,,True,False
R000083,telco,Telco,TotalCharges,MNAR_TARGET,MNAR,target,,TotalCharges,,10,303,classical,dae,DAE,,,True,False
R000084,telco,Telco,TotalCharges,MNAR_TARGET,MNAR,target,,TotalCharges,,10,404,classical,meanmode,Mean/Mode,,,True,False
R000085,telco,Telco,TotalCharges,MNAR_TARGET,MNAR,target,,TotalCharges,,10,404,classical,medianmode,Median/Mode,,,True,False
R000086,telco,Telco,TotalCharges,MNAR_TARGET,MNAR,target,,TotalCharges,,10,404,classical,mice,MICE,,,True,False
R000087,telco,Telco,TotalCharges,MNAR_TARGET,MNAR,target,,TotalCharges,,10,404,classical,missforest,MissForest,,,True,False
R000088,telco,Telco,TotalCharges,MNAR_TARGET,MNAR,target,,TotalCharges,,10,404,classical,dae,DAE,,,True,False
R000089,telco,Telco,TotalCharges,MNAR_TARGET,MNAR,target,,TotalCharges,,10,505,classical,meanmode,Mean/Mode,,,True,False
R000090,telco,Telco,TotalCharges,MNAR_TARGET,MNAR,target,,TotalCharges,,10,505,classical,medianmode,Median/Mode,,,True,False
R000091,telco,Telco,TotalCharges,MNAR_TARGET,MNAR,target,,TotalCharges,,10,505,classical,mice,MICE,,,True,False
R000092,telco,Telco,TotalCharges,MNAR_TARGET,MNAR,target,,TotalCharges,,10,505,classical,missforest,MissForest,,,True,False
R000093,telco,Telco,TotalCharges,MNAR_TARGET,MNAR,target,,TotalCharges,,10,505,classical,dae,DAE,,,True,False
R000094,telco,Telco,TotalCharges,MNAR_TARGET,MNAR,target,,TotalCharges,,10,42,llm_finetuned,llm_finetuned,LLM Finetuned,mistral,mistralai/Mistral-7B-Instruct-v0.3,True,False
R000095,telco,Telco,TotalCharges,MNAR_TARGET,MNAR,target,,TotalCharges,,10,42,llm_finetuned,llm_finetuned,LLM Finetuned,llama,meta-llama/Llama-3.1-8B-Instruct,True,False
R000096,telco,Telco,TotalCharges,MNAR_TARGET,MNAR,target,,TotalCharges,,10,42,llm_finetuned,llm_finetuned,LLM Finetuned,qwen,Qwen/Qwen2.5-7B-Instruct,True,False
R000097,telco,Telco,TotalCharges,MNAR_TARGET,MNAR,target,,TotalCharges,,10,202,llm_finetuned,llm_finetuned,LLM Finetuned,mistral,mistralai/Mistral-7B-Instruct-v0.3,True,False
R000098,telco,Telco,TotalCharges,MNAR_TARGET,MNAR,target,,TotalCharges,,10,202,llm_finetuned,llm_finetuned,LLM Finetuned,llama,meta-llama/Llama-3.1-8B-Instruct,True,False
R000099,telco,Telco,TotalCharges,MNAR_TARGET,MNAR,target,,TotalCharges,,10,202,llm_finetuned,llm_finetuned,LLM Finetuned,qwen,Qwen/Qwen2.5-7B-Instruct,True,False
R000100,telco,Telco,TotalCharges,MNAR_TARGET,MNAR,target,,TotalCharges,,10,303,llm_finetuned,llm_finetuned,LLM Finetuned,mistral,mistralai/Mistral-7B-Instruct-v0.3,True,False
R000101,telco,Telco,TotalCharges,MNAR_TARGET,MNAR,target,,TotalCharges,,10,303,llm_finetuned,llm_finetuned,LLM Finetuned,llama,meta-llama/Llama-3.1-8B-Instruct,True,False
R000102,telco,Telco,TotalCharges,MNAR_TARGET,MNAR,target,,TotalCharges,,10,303,llm_finetuned,llm_finetuned,LLM Finetuned,qwen,Qwen/Qwen2.5-7B-Instruct,True,False
R000103,telco,Telco,TotalCharges,MNAR_TARGET,MNAR,target,,TotalCharges,,15,42,classical,meanmode,Mean/Mode,,,True,False
R000104,telco,Telco,TotalCharges,MNAR_TARGET,MNAR,target,,TotalCharges,,15,42,classical,medianmode,Median/Mode,,,True,False
R000105,telco,Telco,TotalCharges,MNAR_TARGET,MNAR,target,,TotalCharges,,15,42,classical,mice,MICE,,,True,False
R000106,telco,Telco,TotalCharges,MNAR_TARGET,MNAR,target,,TotalCharges,,15,42,classical,missforest,MissForest,,,True,False
R000107,telco,Telco,TotalCharges,MNAR_TARGET,MNAR,target,,TotalCharges,,15,42,classical,dae,DAE,,,True,False
R000108,telco,Telco,TotalCharges,MNAR_TARGET,MNAR,target,,TotalCharges,,15,202,classical,meanmode,Mean/Mode,,,True,False
R000109,telco,Telco,TotalCharges,MNAR_TARGET,MNAR,target,,TotalCharges,,15,202,classical,medianmode,Median/Mode,,,True,False
R000110,telco,Telco,TotalCharges,MNAR_TARGET,MNAR,target,,TotalCharges,,15,202,classical,mice,MICE,,,True,False
R000111,telco,Telco,TotalCharges,MNAR_TARGET,MNAR,target,,TotalCharges,,15,202,classical,missforest,MissForest,,,True,False
R000112,telco,Telco,TotalCharges,MNAR_TARGET,MNAR,target,,TotalCharges,,15,202,classical,dae,DAE,,,True,False
R000113,telco,Telco,TotalCharges,MNAR_TARGET,MNAR,target,,TotalCharges,,15,303,classical,meanmode,Mean/Mode,,,True,False
R000114,telco,Telco,TotalCharges,MNAR_TARGET,MNAR,target,,TotalCharges,,15,303,classical,medianmode,Median/Mode,,,True,False
R000115,telco,Telco,TotalCharges,MNAR_TARGET,MNAR,target,,TotalCharges,,15,303,classical,mice,MICE,,,True,False
R000116,telco,Telco,TotalCharges,MNAR_TARGET,MNAR,target,,TotalCharges,,15,303,classical,missforest,MissForest,,,True,False
R000117,telco,Telco,TotalCharges,MNAR_TARGET,MNAR,target,,TotalCharges,,15,303,classical,dae,DAE,,,True,False
R000118,telco,Telco,TotalCharges,MNAR_TARGET,MNAR,target,,TotalCharges,,15,404,classical,meanmode,Mean/Mode,,,True,False
R000119,telco,Telco,TotalCharges,MNAR_TARGET,MNAR,target,,TotalCharges,,15,404,classical,medianmode,Median/Mode,,,True,False
R000120,telco,Telco,TotalCharges,MNAR_TARGET,MNAR,target,,TotalCharges,,15,404,classical,mice,MICE,,,True,False
R000121,telco,Telco,TotalCharges,MNAR_TARGET,MNAR,target,,TotalCharges,,15,404,classical,missforest,MissForest,,,True,False
R000122,telco,Telco,TotalCharges,MNAR_TARGET,MNAR,target,,TotalCharges,,15,404,classical,dae,DAE,,,True,False
R000123,telco,Telco,TotalCharges,MNAR_TARGET,MNAR,target,,TotalCharges,,15,505,classical,meanmode,Mean/Mode,,,True,False
R000124,telco,Telco,TotalCharges,MNAR_TARGET,MNAR,target,,TotalCharges,,15,505,classical,medianmode,Median/Mode,,,True,False
R000125,telco,Telco,TotalCharges,MNAR_TARGET,MNAR,target,,TotalCharges,,15,505,classical,mice,MICE,,,True,False
R000126,telco,Telco,TotalCharges,MNAR_TARGET,MNAR,target,,TotalCharges,,15,505,classical,missforest,MissForest,,,True,False
R000127,telco,Telco,TotalCharges,MNAR_TARGET,MNAR,target,,TotalCharges,,15,505,classical,dae,DAE,,,True,False
R000128,telco,Telco,TotalCharges,MNAR_TARGET,MNAR,target,,TotalCharges,,15,42,llm_finetuned,llm_finetuned,LLM Finetuned,mistral,mistralai/Mistral-7B-Instruct-v0.3,True,False
R000129,telco,Telco,TotalCharges,MNAR_TARGET,MNAR,target,,TotalCharges,,15,42,llm_finetuned,llm_finetuned,LLM Finetuned,llama,meta-llama/Llama-3.1-8B-Instruct,True,False
R000130,telco,Telco,TotalCharges,MNAR_TARGET,MNAR,target,,TotalCharges,,15,42,llm_finetuned,llm_finetuned,LLM Finetuned,qwen,Qwen/Qwen2.5-7B-Instruct,True,False
R000131,telco,Telco,TotalCharges,MNAR_TARGET,MNAR,target,,TotalCharges,,15,202,llm_finetuned,llm_finetuned,LLM Finetuned,mistral,mistralai/Mistral-7B-Instruct-v0.3,True,False
R000132,telco,Telco,TotalCharges,MNAR_TARGET,MNAR,target,,TotalCharges,,15,202,llm_finetuned,llm_finetuned,LLM Finetuned,llama,meta-llama/Llama-3.1-8B-Instruct,True,False
R000133,telco,Telco,TotalCharges,MNAR_TARGET,MNAR,target,,TotalCharges,,15,202,llm_finetuned,llm_finetuned,LLM Finetuned,qwen,Qwen/Qwen2.5-7B-Instruct,True,False
R000134,telco,Telco,TotalCharges,MNAR_TARGET,MNAR,target,,TotalCharges,,15,303,llm_finetuned,llm_finetuned,LLM Finetuned,mistral,mistralai/Mistral-7B-Instruct-v0.3,True,False
R000135,telco,Telco,TotalCharges,MNAR_TARGET,MNAR,target,,TotalCharges,,15,303,llm_finetuned,llm_finetuned,LLM Finetuned,llama,meta-llama/Llama-3.1-8B-Instruct,True,False
R000136,telco,Telco,TotalCharges,MNAR_TARGET,MNAR,target,,TotalCharges,,15,303,llm_finetuned,llm_finetuned,LLM Finetuned,qwen,Qwen/Qwen2.5-7B-Instruct,True,False
R000137,telco,Telco,TotalCharges,MCAR_TARGET,MCAR,target,,,,10,42,classical,meanmode,Mean/Mode,,,True,False
R000138,telco,Telco,TotalCharges,MCAR_TARGET,MCAR,target,,,,10,42,classical,medianmode,Median/Mode,,,True,False
R000139,telco,Telco,TotalCharges,MCAR_TARGET,MCAR,target,,,,10,42,classical,mice,MICE,,,True,False
R000140,telco,Telco,TotalCharges,MCAR_TARGET,MCAR,target,,,,10,42,classical,missforest,MissForest,,,True,False
R000141,telco,Telco,TotalCharges,MCAR_TARGET,MCAR,target,,,,10,42,classical,dae,DAE,,,True,False
R000142,telco,Telco,TotalCharges,MCAR_TARGET,MCAR,target,,,,10,202,classical,meanmode,Mean/Mode,,,True,False
R000143,telco,Telco,TotalCharges,MCAR_TARGET,MCAR,target,,,,10,202,classical,medianmode,Median/Mode,,,True,False
R000144,telco,Telco,TotalCharges,MCAR_TARGET,MCAR,target,,,,10,202,classical,mice,MICE,,,True,False
R000145,telco,Telco,TotalCharges,MCAR_TARGET,MCAR,target,,,,10,202,classical,missforest,MissForest,,,True,False
R000146,telco,Telco,TotalCharges,MCAR_TARGET,MCAR,target,,,,10,202,classical,dae,DAE,,,True,False
R000147,telco,Telco,TotalCharges,MCAR_TARGET,MCAR,target,,,,10,303,classical,meanmode,Mean/Mode,,,True,False
R000148,telco,Telco,TotalCharges,MCAR_TARGET,MCAR,target,,,,10,303,classical,medianmode,Median/Mode,,,True,False
R000149,telco,Telco,TotalCharges,MCAR_TARGET,MCAR,target,,,,10,303,classical,mice,MICE,,,True,False
R000150,telco,Telco,TotalCharges,MCAR_TARGET,MCAR,target,,,,10,303,classical,missforest,MissForest,,,True,False
R000151,telco,Telco,TotalCharges,MCAR_TARGET,MCAR,target,,,,10,303,classical,dae,DAE,,,True,False
R000152,telco,Telco,TotalCharges,MCAR_TARGET,MCAR,target,,,,10,404,classical,meanmode,Mean/Mode,,,True,False
R000153,telco,Telco,TotalCharges,MCAR_TARGET,MCAR,target,,,,10,404,classical,medianmode,Median/Mode,,,True,False
R000154,telco,Telco,TotalCharges,MCAR_TARGET,MCAR,target,,,,10,404,classical,mice,MICE,,,True,False
